invoice_id,date,vendor,category,business_unit,amount,description,approved_by,payment_status
INV-31178,2024-01-02,Delta Airlines,Travel & Expenses,Engineering,5069.99,Travel & Expenses - Delta Airlines,Auto-approved,Pending
INV-55158,2024-01-02,Workday HCM,HR & Recruitment,Finance,37544.42,HR & Recruitment - Workday HCM,Manager,Paid
INV-85255,2024-01-02,WeWork,Facilities & Real Estate,Marketing,3249.44,Facilities & Real Estate - WeWork,Auto-approved,Paid
INV-29795,2024-01-04,Adobe Systems,IT & Software,Legal,62446.44,IT & Software - Adobe Systems,Manager,Paid
INV-16428,2024-01-05,Workday HCM,HR & Recruitment,Finance,28730.52,HR & Recruitment - Workday HCM,Auto-approved,Paid
INV-83137,2024-01-06,UPS Supply Chain,Logistics & Freight,Engineering,2152.41,Logistics & Freight - UPS Supply Chain,Director,Pending
INV-90482,2024-01-06,LinkedIn Talent,HR & Recruitment,HR,33471.25,HR & Recruitment - LinkedIn Talent,Director,Paid
INV-55443,2024-01-07,Google Ads,Marketing & Advertising,Engineering,56778.1,Marketing & Advertising - Google Ads,VP,Paid
INV-35969,2024-01-07,Deloitte Consulting,Professional Services,Engineering,20108.95,Professional Services - Deloitte Consulting,Auto-approved,Paid
INV-68073,2024-01-07,3M Company,Raw Materials,Engineering,56031.58,Raw Materials - 3M Company,Director,Paid
INV-24871,2024-01-08,Uber for Business,Travel & Expenses,HR,8328.55,Travel & Expenses - Uber for Business,Auto-approved,Paid
INV-30232,2024-01-08,AT&T Business,Utilities,Operations,21812.09,Utilities - AT&T Business,Manager,Pending
INV-73736,2024-01-10,Con Edison,Utilities,Finance,11196.63,Utilities - Con Edison,Director,Paid
INV-19545,2024-01-13,Meta Ads,Marketing & Advertising,Marketing,4173.99,Marketing & Advertising - Meta Ads,Auto-approved,Pending
INV-60615,2024-01-14,DHL Express,Logistics & Freight,Finance,8414.96,Logistics & Freight - DHL Express,Manager,Paid
INV-46822,2024-01-14,Delta Airlines,Travel & Expenses,Marketing,4851.28,Travel & Expenses - Delta Airlines,Manager,Pending
INV-64862,2024-01-14,Deloitte Consulting,Professional Services,Sales,165573.14,Professional Services - Deloitte Consulting,Auto-approved,Pending
INV-84341,2024-01-17,Adobe Systems,IT & Software,Marketing,120951.82,IT & Software - Adobe Systems,VP,Paid
INV-58760,2024-01-17,Indeed,HR & Recruitment,HR,30649.65,HR & Recruitment - Indeed,Auto-approved,Paid
INV-94085,2024-01-17,Zoom Video,IT & Software,Operations,43776.52,IT & Software - Zoom Video,Auto-approved,Paid
INV-75390,2024-01-18,DHL Express,Logistics & Freight,Marketing,12359.31,Logistics & Freight - DHL Express,Auto-approved,Pending
INV-19725,2024-01-18,Zoom Video,IT & Software,Legal,44941.38,IT & Software - Zoom Video,VP,Paid
INV-23154,2024-01-19,PwC Advisory,Professional Services,Operations,35930.34,Professional Services - PwC Advisory,Auto-approved,Paid
INV-51033,2024-01-22,Zoom Video,IT & Software,Operations,65996.72,IT & Software - Zoom Video,Auto-approved,Pending
INV-60197,2024-01-23,Con Edison,Utilities,Engineering,9999,Utilities - Con Edison,Director,Paid
INV-78069,2024-01-24,Con Edison,Utilities,Engineering,1647.96,Utilities - Con Edison,Auto-approved,Paid
INV-88167,2024-01-24,KPMG LLP,Professional Services,Engineering,78059.55,Professional Services - KPMG LLP,VP,Pending
INV-76628,2024-01-25,Microsoft Corporation,IT & Software,HR,83430.72,IT & Software - Microsoft Corporation,Director,Paid
INV-18330,2024-01-27,Google Ads,Marketing & Advertising,Finance,10577.3,Marketing & Advertising - Google Ads,Auto-approved,Pending
INV-62772,2024-01-28,FedEx,Logistics & Freight,Operations,13532.62,Logistics & Freight - FedEx,VP,Paid
INV-19334,2024-01-28,McKinsey & Company,Professional Services,Operations,217266.38,Professional Services - McKinsey & Company,Auto-approved,Paid
INV-79621,2024-01-29,JLL Property,Facilities & Real Estate,Legal,30750.04,Facilities & Real Estate - JLL Property,Auto-approved,Paid
INV-31229,2024-01-29,UPS Supply Chain,Logistics & Freight,HR,16661.54,Logistics & Freight - UPS Supply Chain,VP,Paid
INV-60911,2024-01-29,Grainger,Raw Materials,Legal,57539.68,Raw Materials - Grainger,VP,Paid
INV-87430,2024-01-31,Deloitte Consulting,Professional Services,Sales,245484.45,Professional Services - Deloitte Consulting,Auto-approved,Pending
INV-32955,2024-02-01,Uber for Business,Travel & Expenses,Finance,8395.1,Travel & Expenses - Uber for Business,Auto-approved,Pending
INV-46291,2024-02-02,Microsoft Corp,IT & Software,Operations,51106.26,IT & Software - Microsoft Corp,VP,Paid
INV-30644,2024-02-03,CBRE,Facilities & Real Estate,Sales,55899.72,Facilities & Real Estate - CBRE,Director,Paid
INV-87518,2024-02-04,PwC Advisory,Professional Services,Operations,119885.67,Professional Services - PwC Advisory,Manager,Paid
INV-53365,2024-02-04,Marriott Hotels,Travel & Expenses,Sales,3835.25,Travel & Expenses - Marriott Hotels,VP,Paid
INV-42411,2024-02-05,Mailchimp,Marketing & Advertising,Sales,62608.03,Marketing & Advertising - Mailchimp,Director,Paid
INV-23104,2024-02-07,Staples Business,Office Supplies,Finance,96.11,Office Supplies - Staples Business,Manager,Paid
INV-61996,2024-02-08,Mailchimp,Marketing & Advertising,Legal,27577.12,Marketing & Advertising - Mailchimp,VP,Paid
INV-87860,2024-02-08,Indeed,HR & Recruitment,Marketing,27805.27,HR & Recruitment - Indeed,Auto-approved,Paid
INV-80798,2024-02-09,Delta Airlines,Travel & Expenses,Operations,10731.82,Travel & Expenses - Delta Airlines,Manager,Paid
INV-80748,2024-02-09,Deloitte Consulting,Professional Services,Marketing,77469.06,Professional Services - Deloitte Consulting,Manager,Paid
INV-74985,2024-02-09,Uber for Business,Travel & Expenses,Operations,5480.76,Travel & Expenses - Uber for Business,Director,Pending
INV-21629,2024-02-09,PwC Advisory,Professional Services,Finance,63309.0,Professional Services - PwC Advisory,VP,Pending
INV-75230,2024-02-10,KPMG LLP,Professional Services,Marketing,154325.49,Professional Services - KPMG LLP,Director,Paid
INV-34966,2024-02-10,WeWork,Facilities & Real Estate,Sales,92378.16,Facilities & Real Estate - WeWork,Manager,Paid
INV-41816,2024-02-13,FedEx,Logistics & Freight,Operations,14551.91,Logistics & Freight - FedEx,Director,Pending
INV-61688,2024-02-13,Staples Business,Office Supplies,Sales,2924.81,Office Supplies - Staples Business,Manager,Paid
INV-72580,2024-02-14,Con Edison,Utilities,Finance,12324.58,Utilities - Con Edison,VP,Paid
INV-49223,2024-02-15,Mailchimp,Marketing & Advertising,Operations,58595.69,Marketing & Advertising - Mailchimp,Director,Pending
INV-66233,2024-02-15,Amazon Business,Office Supplies,Legal,690.56,Office Supplies - Amazon Business,Auto-approved,Pending
INV-38199,2024-02-16,Amazon Business,Office Supplies,Engineering,4728.9,Office Supplies - Amazon Business,VP,Paid
INV-87814,2024-02-16,UPS Supply Chain,Logistics & Freight,Sales,49999,Logistics & Freight - UPS Supply Chain,Director,Pending
INV-16416,2024-02-16,JLL Property,Facilities & Real Estate,Marketing,71693.43,Facilities & Real Estate - JLL Property,VP,Paid
INV-72650,2024-02-16,Amazon Business,Office Supplies,Engineering,0,Office Supplies - Amazon Business,Manager,Paid
INV-36062,2024-02-17,Salesforce,IT & Software,Engineering,34000,IT & Software - Salesforce,Auto-approved,Paid
INV-17861,2024-02-19,MSFT,IT & Software,Operations,111943.76,IT & Software - MSFT,VP,Paid
INV-64805,2024-02-19,LinkedIn Marketing,Marketing & Advertising,Marketing,4523.12,Marketing & Advertising - LinkedIn Marketing,Director,Paid
INV-43084,2024-02-19,Google Ads,Marketing & Advertising,Engineering,42188.64,Marketing & Advertising - Google Ads,VP,Paid
INV-79655,2024-02-19,PwC Advisory,Professional Services,HR,48468.44,Professional Services - PwC Advisory,Manager,Paid
INV-46666,2024-02-20,FedEx,Logistics & Freight,Sales,16707.12,Logistics & Freight - FedEx,Manager,Paid
INV-67261,2024-02-21,Workday HCM,HR & Recruitment,HR,17491.49,HR & Recruitment - Workday HCM,Auto-approved,Paid
INV-91351,2024-02-22,LinkedIn Marketing,Marketing & Advertising,Sales,28617.45,Marketing & Advertising - LinkedIn Marketing,Director,Paid
INV-95918,2024-02-22,PwC Advisory,Professional Services,Marketing,40878.83,Professional Services - PwC Advisory,Manager,Paid
INV-61873,2024-02-24,MSFT,IT & Software,Operations,37254.15,IT & Software - MSFT,VP,Paid
INV-81511,2024-02-27,3M Company,Raw Materials,Engineering,6568.05,Raw Materials - 3M Company,Manager,Paid
INV-12050,2024-02-27,Delta Airlines,Travel & Expenses,Marketing,580.04,Travel & Expenses - Delta Airlines,Director,Paid
INV-11581,2024-02-27,Amazon Business,Office Supplies,Operations,1243.35,Office Supplies - Amazon Business,VP,Paid
INV-91018,2024-02-28,FedEx,Logistics & Freight,Finance,8219.64,Logistics & Freight - FedEx,Auto-approved,Paid
INV-98288,2024-02-28,Workday HCM,HR & Recruitment,HR,18048.31,HR & Recruitment - Workday HCM,VP,Paid
INV-10150,2024-02-29,American Express Travel,Travel & Expenses,Finance,14555.75,Travel & Expenses - American Express Travel,Auto-approved,Pending
INV-96643,2024-02-29,MSFT,IT & Software,Operations,46944.66,IT & Software - MSFT,VP,Paid
INV-28139,2024-02-29,UPS Supply Chain,Logistics & Freight,Sales,2080.97,Logistics & Freight - UPS Supply Chain,Director,Paid
INV-28528,2024-03-01,Deloitte Consulting,Professional Services,Finance,63450.32,Professional Services - Deloitte Consulting,Auto-approved,Pending
INV-87060,2024-03-01,MSFT,IT & Software,Operations,116569.12,IT & Software - MSFT,VP,Pending
INV-15209,2024-03-02,LinkedIn Marketing,Marketing & Advertising,Operations,75356.89,Marketing & Advertising - LinkedIn Marketing,Manager,Pending
INV-34267,2024-03-02,American Express Travel,Travel & Expenses,Marketing,10847.14,Travel & Expenses - American Express Travel,Director,Paid
INV-59834,2024-03-02,Marriott Hotels,Travel & Expenses,Finance,215.18,Travel & Expenses - Marriott Hotels,Director,Paid
INV-89076,2024-03-02,Staples Business,Office Supplies,Finance,497.58,Office Supplies - Staples Business,Manager,Paid
INV-68341,2024-03-03,Amazon Business,Office Supplies,Marketing,721.86,Office Supplies - Amazon Business,Manager,Paid
INV-74752,2024-03-03,Con Edison,Utilities,Marketing,29561.41,Utilities - Con Edison,Manager,Paid
INV-92397,2024-03-04,Staples Business,Office Supplies,HR,4866.92,Office Supplies - Staples Business,VP,Paid
INV-70952,2024-03-05,PwC Advisory,Professional Services,Marketing,121022.46,Professional Services - PwC Advisory,VP,Paid
INV-99463,2024-03-07,3M Company,Raw Materials,HR,42894.52,Raw Materials - 3M Company,Manager,Paid
INV-61505,2024-03-07,UPS Supply Chain,Logistics & Freight,Sales,4888.08,Logistics & Freight - UPS Supply Chain,VP,Paid
INV-52413,2024-03-07,Meta Ads,Marketing & Advertising,Legal,27590.34,Marketing & Advertising - Meta Ads,Manager,Paid
INV-58434,2024-03-08,Con Edison,Utilities,Finance,28031.15,Utilities - Con Edison,VP,Paid
INV-75771,2024-03-08,Google Ads,Marketing & Advertising,Marketing,63027.77,Marketing & Advertising - Google Ads,VP,Paid
INV-70604,2024-03-08,Adobe Systems,IT & Software,Operations,77473.93,IT & Software - Adobe Systems,VP,Paid
